frame,seconds,dt,member,cellX,cellY,gridX,gridY,rootX,rootY,footMidX,footMidY,footMidErrorPx,leftGroundX,leftGroundY,rightGroundX,rightGroundY,leftActualX,leftActualY,rightActualX,rightActualY,leftWorldX,leftWorldY,leftWorldZ,rightWorldX,rightWorldY,rightWorldZ,rootWorldX,rootWorldZ,yaw,phase,footLead,leftContact,rightContact,gaitDistance,displacement,pathErrorPx,lowestMeshY,direction,destinationX,destinationY,pathCount,hostCount
0,0.004734,0.333333,father,1,9,1.025760,9.000001,302.887200,450.941700,304.862500,449.429700,2.487509,309.189500,445.232100,300.535600,453.627300,309.189500,435.879500,300.535600,444.166500,-5.972968,0.238813,-2.176354,-6.129219,0.241575,-2.390719,-6.086759,-2.322143,44.390670,0.032199,0.262488,0,1,0.025600,0.015600,0.000068,0.131835,5,4,5,8,4
0,0.004734,0.333333,mother,9,6,8.974240,6.000000,765.736700,346.342400,763.059100,347.149800,2.796687,756.680700,349.726500,769.437400,344.573100,756.680700,340.373900,769.437400,335.112400,2.106735,0.238813,0.262327,2.337064,0.241575,0.393914,2.270246,0.348737,248.563000,0.032199,0.262488,0,1,0.025600,0.015600,0.000193,0.131834,1,8,11,7,4
0,0.004734,0.333333,older_sister,10,4,9.974240,4.000000,892.562400,367.479900,889.169000,368.575300,3.565782,880.419400,371.287700,897.918600,365.863000,880.419400,359.803600,897.918600,354.118100,4.340906,0.293240,-0.288226,4.656864,0.299899,-0.149709,4.560154,-0.190998,248.588200,0.032199,0.344719,0,0,0.025600,0.015600,0.000273,0.143359,1,4,9,12,4
0,0.004734,0.333333,player,2,2,2.025760,2.000000,641.089000,577.767300,643.549400,575.784700,3.159831,649.958100,570.774800,637.140600,580.794600,649.958100,559.290700,637.140600,569.049700,0.179799,0.293239,-5.382012,-0.051627,0.299899,-5.637860,0.019663,-5.560561,44.391720,0.032199,0.344719,0,0,0.025600,0.015600,0.000061,0.143359,5,8,4,9,4
1,0.222586,0.237225,father,1,9,1.098108,9.000001,305.945700,449.412400,306.632700,449.252000,0.705479,312.133500,445.684700,301.131900,452.819300,312.133500,436.887100,301.131900,442.831600,-5.919812,0.224641,-2.187908,-6.118452,0.255030,-2.370087,-6.031536,-2.283095,54.736750,0.122634,0.267369,0,0,0.097500,0.030000,0.000043,0.131835,5,4,5,8,4
1,0.222586,0.237225,mother,9,6,8.901893,6.000000,762.678200,347.871600,761.991200,348.032100,0.705443,756.490400,351.599400,767.492000,344.464800,756.490400,342.801800,767.492000,334.477100,2.103299,0.224641,0.214503,2.301938,0.255030,0.396682,2.215022,0.309690,234.736800,0.122634,0.267369,0,0,0.097500,0.030000,0.000246,0.131834,1,8,11,7,4
1,0.222586,0.237225,older_sister,10,4,9.901893,4.000000,889.503800,369.009100,888.689600,369.226200,0.842656,880.916400,373.328900,896.462900,365.123500,880.916400,362.431300,896.462900,352.776000,4.349879,0.278265,-0.340348,4.630580,0.315286,-0.130827,4.504930,-0.230045,234.736900,0.122634,0.350158,0,0,0.097500,0.030000,0.000356,0.143359,1,4,9,12,4
1,0.222586,0.237225,player,2,2,2.098108,2.000000,644.147500,576.238100,644.961700,576.021100,0.842641,652.734900,571.918300,637.188500,580.123800,652.734900,561.020600,637.188500,567.776400,0.229935,0.278265,-5.411209,-0.050763,0.315285,-5.620733,0.074885,-5.521513,54.736230,0.122634,0.350157,0,0,0.097500,0.030000,0.000061,0.143359,5,8,4,9,4
2,0.350203,0.128607,father,1,9,1.178606,9.000001,309.348800,447.710700,307.849500,448.709000,1.801202,312.325700,445.488500,303.373300,451.929400,312.325700,436.649000,303.373300,440.731300,-5.916341,0.225711,-2.182901,-6.077982,0.285937,-2.347364,-5.970092,-2.239642,54.732100,0.223257,0.226934,1,0,0.177500,0.030000,0.000246,0.131835,5,4,5,8,4
2,0.350203,0.128607,mother,9,6,8.821394,6.000000,759.275000,349.573400,760.774300,348.575100,1.801185,756.298200,351.795500,765.250500,345.354700,756.298200,342.956100,765.250500,334.156600,2.099827,0.225711,0.209495,2.261468,0.285938,0.373958,2.153577,0.266236,234.732100,0.223257,0.226935,1,0,0.177500,0.030000,0.000110,0.131834,1,8,11,7,4
2,0.350203,0.128607,older_sister,10,4,9.821395,4.000000,886.100800,370.710900,888.045800,369.369300,2.362851,881.811600,372.952800,894.280000,365.785800,881.811600,361.962800,894.280000,352.180500,4.366044,0.280623,-0.330742,4.591166,0.347404,-0.147738,4.443486,-0.273497,234.732800,0.223257,0.289470,1,0,0.177500,0.030000,0.000136,0.143359,1,4,9,12,4
2,0.350203,0.128607,player,2,2,2.178606,2.000000,647.550600,574.536400,645.605500,575.878000,2.362884,651.839600,572.294400,639.371500,579.461500,651.839600,561.304400,639.371500,565.856100,0.213771,0.280623,-5.420815,-0.011349,0.347404,-5.603821,0.136330,-5.478060,54.732060,0.223257,0.289469,1,0,0.177500,0.030000,0.000193,0.143359,5,8,4,9,4
3,0.476311,0.126655,father,1,9,1.259104,9.000001,312.751800,446.009200,311.054700,446.962500,1.946556,313.229400,444.964800,308.879900,448.960200,313.229400,436.062000,308.879900,436.243600,-5.900024,0.227327,-2.169527,-5.978558,0.324710,-2.271547,-5.908647,-2.196196,54.736670,0.323880,0.123023,1,0,0.257500,0.030000,0.000164,0.131835,5,4,5,8,4
3,0.476311,0.126655,mother,9,6,8.740895,6.000000,755.871900,351.274800,757.569200,350.321600,1.946636,755.394400,352.319300,759.744000,348.323900,755.394400,343.416400,759.744000,335.607300,2.083510,0.227328,0.196122,2.162044,0.324711,0.298141,2.092133,0.222791,234.737200,0.323880,0.123023,1,0,0.257500,0.030000,0.000164,0.131834,1,8,11,7,4
